no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category
538.0,2023-11-09,ElJahliye,2023-11-09,182.38,180.0,51.0,172.4536082,3.381443299,56.22,68.54,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,13.0,1.94133333333333,6.69642857142858,1,low
539.0,2023-11-09,ElJahliye,2023-11-09,204.81,200.0,62.0,206.2405498,3.326460481,60.23,69.65,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,14.0,1.92,7.29166666666667,1,moderate
540.0,2023-11-09,ElJahliye,2023-11-09,158.36,150.0,45.0,215.1030928,4.780068729,53.195,66.81,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,16.0,2.048,7.8125,1,moderate
541.0,2023-11-09,ElJahliye,2023-11-09,107.24,100.0,37.0,124.3505155,3.360824742,48.205,56.44,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,11.0,2.13333333333333,5.15625000000001,1,low
542.0,2023-11-09,ElJahliye,2023-11-09,98.36,90.0,28.0,65.91065292,2.35395189,46.085,51.85,True,False,False,0.2222222222222222,0,True,63.82,82.0,17.72,14.4,1.49333333333333,9.64285714285716,1,low
543.0,2023-11-15,Rachiine,2023-11-15,302.15,300.0,105.0,445.666667,4.244444444,73.62,80.39,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,15.2,2.624,5.79268292682927,0,high
544.0,2023-11-15,Rachiine,2023-11-15,204.35,200.0,68.0,408.906667,6.013333333,66.475,69.92,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,15.0,2.56,5.859375,0,high
545.0,2023-11-15,Rachiine,2023-11-15,284.71,270.0,100.0,492.0,4.92,72.05,78.87,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,16.0,2.83733333333333,5.63909774436091,0,high
546.0,2023-11-15,Rachiine,2023-11-15,184.16,180.0,62.0,251.582222,4.057777778,64.66,66.4,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,16.6,2.51733333333333,6.59427966101696,0,moderate
547.0,2023-11-15,Rachiine,2023-11-15,422.02,410.0,146.0,506.782222,3.471111111,84.7,87.78,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,16.8,2.15466666666667,7.79702970297028,0,high
548.0,2023-11-15,Rachiine,2023-11-15,229.84,220.0,70.0,360.888889,5.155555556,68.69,72.76,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,15.4,2.496,6.16987179487179,0,moderate
549.0,2023-11-15,Rachiine,2023-11-15,171.75,160.0,44.0,274.951111,6.248888889,60.0,66.43,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,18.6,10.176,1.82783018867925,0,moderate
550.0,2023-11-15,Rachiine,2023-11-15,194.15,180.0,52.0,273.635556,5.262222222,64.69,67.0,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,16.4,3.584,4.57589285714286,0,moderate
551.0,2023-11-15,Rachiine,2023-11-15,204.25,200.0,50.0,146.0,2.92,68.275,68.39,False,False,True,0.4444444444444444,0,False,78.33,109.0,18.22,15.6,2.32533333333333,6.70871559633028,0,low
